date,season,team,opponent team,conference,division,coach,dpa,dps,first downs,site,points,o:points,margin,line,ats margin,total
20160903,2016,AIR,ACU,MWC,1A,Troy Calhoun,10.75,-15.75,29,home,37,21,16,-42.5,-26.5,63
20160903,2016,ACU,AIR,,,None,-15.75,10.75,16,away,21,37,-16,42.5,26.5,63
20160903,2016,AKRON,VMI,MAC,1A,None,10.75,6.25,24,home,47,24,23,-27.5,-4.5,54
20160903,2016,VMI,AKRON,,1AA,None,6.25,10.75,20,away,24,47,-23,27.5,4.5,54
20160903,2016,ALA,USC,SEC,1A,Nick Saban,-14.5,19,15,neutral,52,6,46,-12.5,33.5,53.5
20160903,2016,USC,ALA,P12,1A,Clay Helton,19,-14.5,11,neutral,6,52,-46,12.5,-33.5,53.5
20160903,2016,ARK,LTCH,SEC,1A,Bret Bielema,4.75,-15.75,21,home,21,20,1,-21.5,-20.5,52
20160903,2016,LTCH,ARK,USA,1A,Skip Holtz,-15.75,4.75,16,away,20,21,-1,21.5,20.5,52
20160903,2016,AUB,CLEM,SEC,1A,Gus Malzahn,-15.75,-13.75,17,home,13,19,-6,8,2,61.5
20160903,2016,CLEM,AUB,ACC,1A,Dabo Swinney,-13.75,-15.75,19,away,19,13,6,-8,-2,61.5
20160903,2016,AZST,NAZ,P12,1A,Todd Graham,-11,-7,27,home,44,13,31,-27,4,75
20160903,2016,NAZ,AZST,,1AA,None,-7,-11,16,away,13,44,-31,27,-4,75
20160903,2016,BCOL,GTCH,ACC,1A,Steve Addazio,-6.5,-6,15,neutral,14,17,-3,3.5,0.5,43.5
20160903,2016,GTCH,BCOL,ACC,1A,Paul Johnson,-6,-6.5,12,neutral,17,14,3,-3.5,-0.5,43.5
20160903,2016,BYU,ARZ,IND,1A,Kalani Sitake,-14,-13,24,neutral,18,16,2,-1,1,61
20160903,2016,ARZ,BYU,P12,1A,Rich Rodriguez,-13,-14,17,neutral,16,18,-2,1,-1,61
20160903,2016,CFL,SCST,AAC,1A,Scott Frost,-11,1.5,27,home,38,0,38,-25.5,12.5,47.5
20160903,2016,SCST,CFL,,1A,None,1.5,-11,12,away,0,38,-38,25.5,-12.5,47.5
20160903,2016,DUKE,NCC,ACC,1A,David Cutcliffe,-6.25,2.25,29,home,49,6,43,-34.5,8.5,59
20160903,2016,NCC,DUKE,,1A,None,2.25,-6.25,4,away,6,49,-43,34.5,-8.5,59
20160903,2016,ECAR,WCAR,AAC,1A,Scottie Montgomery,-12.5,14.5,28,home,52,7,45,-18,27,57
20160903,2016,WCAR,ECAR,,1AA,None,14.5,-12.5,15,away,7,52,-45,18,-27,57
20160903,2016,FATL,SIL,USA,1A,Charlie Partridge,2.5,2.5,19,home,38,30,8,-8,0,63
20160903,2016,SIL,FATL,,1AA,None,2.5,2.5,26,away,30,38,-8,8,0,63
20160903,2016,FLA,MAS,SEC,1A,Jim McElwain,-0.5,-19,21,home,24,7,17,-35.5,-18.5,50.5
20160903,2016,MAS,FLA,IND,1AA,None,-19,-0.5,12,away,7,24,-17,35.5,18.5,50.5
20160903,2016,GSOU,SAVA,SBC,1A,Tyson Summers,-8,-10,34,home,54,0,54,-56,-2,72
20160903,2016,SAVA,GSOU,,,None,-10,-8,8,away,0,54,-54,56,2,72
20160903,2016,HOU,OKLA,AAC,1A,Tom Herman,-16.25,5.25,25,neutral,33,23,10,11.5,21.5,67
20160903,2016,OKLA,HOU,B12,1A,Bob Stoops,5.25,-16.25,17,neutral,23,33,-10,-11.5,-21.5,67
20160903,2016,ILL,MUR,B10,1A,Lovie Smith,-12,4,21,home,52,3,49,-33,16,63
20160903,2016,MUR,ILL,,1AA,None,4,-12,13,away,3,52,-49,33,-16,63
20160903,2016,IOWA,MIAO,B10,1A,Kirk Ferentz,9,5.5,17,home,45,21,24,-27.5,-3.5,51.5
20160903,2016,MIAO,IOWA,MAC,1A,Chuck Martin,5.5,9,25,away,21,45,-24,27.5,3.5,51.5
20160903,2016,IWST,NIWA,B12,1A,Matt Campbell,5,-9.5,16,home,20,25,-5,-9.5,-14.5,49.5
20160903,2016,NIWA,IWST,,1AA,None,-9.5,5,22,away,25,20,5,9.5,14.5,49.5
20160903,2016,KAN,URI,B12,1A,David Beaty,-4.75,16.25,28,home,55,6,49,-28,21,49.5
20160903,2016,URI,KAN,,,None,16.25,-4.75,13,away,6,55,-49,28,-21,49.5
20160903,2016,KTKY,SMIS,SEC,1A,Mark Stoops,14.25,1.25,14,home,35,44,-9,-4,-13,63.5
20160903,2016,SMIS,KTKY,USA,1A,Jay Hopson,1.25,14.25,32,away,44,35,9,4,13,63.5
20160903,2016,LLAF,BOIS,SBC,1A,Mark Hudspeth,3.25,-11.75,18,home,10,45,-35,20,-15,63.5
20160903,2016,BOIS,LLAF,MWC,1A,Bryan Harsin,-11.75,3.25,28,away,45,10,35,-20,15,63.5
20160903,2016,LMON,SOU,SBC,1A,Matt Viator,-1.75,-0.25,26,home,38,21,17,-15.5,1.5,61
20160903,2016,SOU,LMON,,1AA,None,-0.25,-1.75,25,away,21,38,-17,15.5,-1.5,61
20160903,2016,MARY,HOW,B10,1A,DJ Durkin,4.75,-6.25,25,home,52,13,39,-50,-11,66.5
20160903,2016,HOW,MARY,,1AA,None,-6.25,4.75,15,away,13,52,-39,50,11,66.5
20160903,2016,MEM,SEMS,AAC,1A,Mike Norvell,1.25,-10.75,27,home,35,17,18,-30,-12,61.5
20160903,2016,SEMS,MEM,,1AA,None,-10.75,1.25,17,away,17,35,-18,30,12,61.5
20160903,2016,MIAF,FAM,ACC,1A,Mark Richt,-2.5,9,22,home,70,3,67,-55.5,11.5,66.5
20160903,2016,FAM,MIAF,,1AA,None,9,-2.5,13,away,3,70,-67,55.5,-11.5,66.5
20160903,2016,MICH,HAW,B10,1A,Jim Harbaugh,-4.25,15.25,26,home,63,3,60,-40.5,19.5,55
20160903,2016,HAW,MICH,MWC,1A,Nick Rolovich,15.25,-4.25,16,away,3,63,-60,40.5,-19.5,55
20160903,2016,MSST,SALA,SEC,1A,Dan Mullen,8.25,-21.25,22,home,20,21,-1,-28.5,-29.5,54
20160903,2016,SALA,MSST,SBC,1A,Joey Jones,-21.25,8.25,19,away,21,20,1,28.5,29.5,54
20160903,2016,MTEN,AAMU,USA,1A,Rick Stockstill,-7.75,0.25,35,home,55,0,55,-47,8,62.5
20160903,2016,AAMU,MTEN,,,None,0.25,-7.75,6,away,0,55,-55,47,-8,62.5
20160903,2016,NAVY,FORD,AAC,1A,Ken Niumatalolo,-8.25,8.25,18,home,52,16,36,-19.5,16.5,68
20160903,2016,FORD,NAVY,,1AA,None,8.25,-8.25,24,away,16,52,-36,19.5,-16.5,68
20160903,2016,NCAR,GEO,ACC,1A,Larry Fedora,2.75,-2.75,16,neutral,24,33,-9,3.5,-5.5,57
20160903,2016,GEO,NCAR,SEC,1A,Kirby Smart,-2.75,2.75,25,neutral,33,24,9,-3.5,5.5,57
20160903,2016,NEB,FRES,B10,1A,Mike Riley,-7,-2.5,20,home,43,10,33,-28.5,4.5,62.5
20160903,2016,FRES,NEB,MWC,1A,Tim DeRuyter,-2.5,-7,17,away,10,43,-33,28.5,-4.5,62.5
20160903,2016,NORW,WMCH,B10,1A,Pat Fitzgerald,-2,-7,15,home,21,22,-1,-4,-5,52
20160903,2016,WMCH,NORW,MAC,1A,PJ Fleck,-7,-2,27,away,22,21,1,4,5,52
20160903,2016,NTX,SMU,USA,1A,Seth Littrell,-4.75,-7.75,26,home,21,34,-13,10,-3,67.5
20160903,2016,SMU,NTX,AAC,1A,Chad Morris,-7.75,-4.75,23,away,34,21,13,-10,3,67.5
20160903,2016,OHST,BOWL,B10,1A,Urban Meyer,-9,30,41,home,77,10,67,-28,39,66
20160903,2016,BOWL,OHST,MAC,1A,Mike Jinks,30,-9,16,away,10,77,-67,28,-39,66
20160903,2016,OHU,TXST,MAC,1A,Frank Solich,35,15,25,home,54,56,-2,-18,-20,60
20160903,2016,TXST,OHU,SBC,1AA,Everett Withers,15,35,29,away,56,54,2,18,20,60
20160903,2016,OKST,SELA,B12,1A,Mike Gundy,0.5,5.5,23,home,61,7,54,-49,5,62
20160903,2016,SELA,OKST,,1AA,None,5.5,0.5,12,away,7,61,-54,49,-5,62
20160903,2016,ORE,CDAV,P12,1A,Mark Helfrich,11.25,-11.25,21,home,53,28,25,-47.5,-22.5,81
20160903,2016,CDAV,ORE,,1AA,None,-11.25,11.25,20,away,28,53,-25,47.5,22.5,81
20160903,2016,PIT,VIL,ACC,1A,Pat Narduzzi,-3.75,-9.75,17,home,28,7,21,-27,-6,48.5
20160903,2016,VIL,PIT,,1AA,None,-9.75,-3.75,14,away,7,28,-21,27,6,48.5
20160903,2016,PNST,KEST,B10,1A,James Franklin,1.5,-1,19,home,33,13,20,-22.5,-2.5,45.5
20160903,2016,KEST,PNST,MAC,1A,Paul Haynes,-1,1.5,16,away,13,33,-20,22.5,2.5,45.5
20160903,2016,PUR,EKY,B10,1A,Darrell Hazell,5,5,25,home,45,24,21,-21,0,59
20160903,2016,EKY,PUR,,1AA,None,5,5,22,away,24,45,-21,21,0,59
20160903,2016,SDST,NHAM,MWC,1A,Rocky Long,-8,-8.5,19,home,31,0,31,-31.5,-0.5,47.5
20160903,2016,NHAM,SDST,,1AA,None,-8.5,-8,8,away,0,31,-31,31.5,0.5,47.5
20160903,2016,SFL,TWSN,AAC,1A,Willie Taggart,9,17,22,home,56,20,36,-28,8,50
20160903,2016,TWSN,SFL,,1AA,None,17,9,20,away,20,56,-36,28,-8,50
20160903,2016,TCU,SDKS,B12,1A,Gary Patterson,29.5,12,35,home,59,41,18,-35.5,-17.5,58.5
20160903,2016,SDKS,TCU,-,-,None,12,29.5,23,away,41,59,-18,35.5,17.5,58.5
20160903,2016,TLS,SJST,AAC,1A,Philip Montgomery,-22.5,7.5,28,home,45,10,35,-5,30,70
20160903,2016,SJST,TLS,MWC,1A,Ron Caragher,7.5,-22.5,13,away,10,45,-35,5,-30,70
20160903,2016,TROY,PEAY,SBC,1A,Neal Brown,9.25,9.25,29,home,57,17,40,-40,0,55.5
20160903,2016,PEAY,TROY,,,None,9.25,9.25,13,away,17,57,-40,40,0,55.5
20160903,2016,TXAM,UCLA,SEC,1A,Kevin Sumlin,-1.5,1.5,23,home,31,24,7,-4,3,55
20160903,2016,UCLA,TXAM,P12,1A,Jim Mora,1.5,-1.5,28,away,24,31,-7,4,-3,55
20160903,2016,TXT,SFAN,B12,1A,Kliff Kingsbury,-7.5,6.5,37,home,69,17,52,-38,14,87
20160903,2016,SFAN,TXT,,1AA,None,6.5,-7.5,24,away,17,69,-52,38,-14,87
20160903,2016,UTEP,NMST,USA,1A,Sean Kugler,-3.5,3,28,home,38,22,16,-9.5,6.5,60.5
20160903,2016,NMST,UTEP,SBC,1A,Doug Martin,3,-3.5,19,away,22,38,-16,9.5,-6.5,60.5
20160903,2016,UTSA,ASU,USA,,Frank Wilson,1.5,-10.5,20,home,26,13,13,-25,-12,48
20160903,2016,ASU,UTSA,,1A,Dennis Erickson,-10.5,1.5,14,away,13,26,-13,25,12,48
20160903,2016,VIR,RICH,ACC,1A,Bronco Mendenhall,14.25,-14.25,19,home,20,37,-17,-11.5,-28.5,57
20160903,2016,RICH,VIR,,1AA,None,-14.25,14.25,24,away,37,20,17,11.5,28.5,57
20160903,2016,VTCH,LIB,ACC,1A,Justin Fuente,-0.25,-8.75,24,home,36,13,23,-31.5,-8.5,58
20160903,2016,LIB,VTCH,,1AA,None,-8.75,-0.25,11,away,13,36,-23,31.5,8.5,58
20160903,2016,WAS,RUT,P12,1A,Chris Petersen,-1.5,7,17,home,48,13,35,-26.5,8.5,55.5
20160903,2016,RUT,WAS,B10,1A,Chris Ash,7,-1.5,21,away,13,48,-35,26.5,-8.5,55.5
20160903,2016,WAST,EWA,P12,1A,Mike Leach,20.25,-10.25,32,home,42,45,-3,-27.5,-30.5,77
20160903,2016,EWA,WAST,,1AA,None,-10.25,20.25,28,away,45,42,3,27.5,30.5,77
20160903,2016,WIS,LSU,B10,1A,Paul Chryst,-13.75,-0.25,21,neutral,16,14,2,11.5,13.5,44
20160903,2016,LSU,WIS,SEC,1A,Les Miles,-0.25,-13.75,14,neutral,14,16,-2,-11.5,-13.5,44
20160903,2016,WVA,MIZ,B12,1A,Dana Holgorsen,-9.5,-4.5,24,home,26,11,15,-10,5,51
20160903,2016,MIZ,WVA,SEC,1A,Barry Odom,-4.5,-9.5,26,away,11,26,-15,10,-5,51
20160903,2016,WYO,NIL,MWC,1A,Craig Bohl,2,17,21,home,40,34,6,9,15,55
20160903,2016,NIL,WYO,MAC,1A,Rod Carey,17,2,12,away,34,40,-6,-9,-15,55
20160904,2016,TEX,NOTD,B12,1A,Charlie Strong,16.5,23.5,26,home,50,47,3,4,7,57
20160904,2016,NOTD,TEX,IND,1A,Brian Kelly,23.5,16.5,22,away,47,50,-3,-4,-7,57
20160904,2016,OLDD,HAM,USA,1A,Bobby Wilder,3,10,20,home,54,21,33,-26,7,62
20160904,2016,HAM,OLDD,,1AA,None,10,3,19,away,21,54,-33,26,-7,62
20160905,2016,FLST,MIS,ACC,1A,Jimbo Fisher,7.5,13.5,32,neutral,45,34,11,-5,6,58
20160905,2016,MIS,FLST,SEC,1A,Hugh Freeze,13.5,7.5,21,neutral,34,45,-11,5,-6,58
20160909,2016,FINT,MARY,USA,1A,Ron Turner,7,-8.5,16,home,14,41,-27,11.5,-15.5,56.5
20160909,2016,MARY,FINT,B10,1A,DJ Durkin,-8.5,7,22,away,41,14,27,-11.5,15.5,56.5
20160909,2016,SYR,LOU,ACC,1A,Dino Babers,18.75,1.25,24,home,28,62,-34,16.5,-17.5,70
20160909,2016,LOU,SYR,ACC,1A,Bobby Petrino,1.25,18.75,30,away,62,28,34,-16.5,17.5,70
20160910,2016,AIR,GAST,MWC,1A,Troy Calhoun,-2,9.5,30,home,48,14,34,-22.5,11.5,54.5
20160910,2016,GAST,AIR,SBC,1AA,Trent Miles,9.5,-2,6,away,14,48,-34,22.5,-11.5,54.5
20160910,2016,ALA,WKY,SEC,1A,Nick Saban,-5.5,-5.5,27,home,38,10,28,-28,0,59
20160910,2016,WKY,ALA,USA,1A,Jeff Brohm,-5.5,-5.5,11,away,10,38,-28,28,0,59
20160910,2016,APP,OLDD,SBC,1A,Scott Satterfield,-9.5,-6.5,25,home,31,7,24,-21,3,54
20160910,2016,OLDD,APP,USA,1A,Bobby Wilder,-6.5,-9.5,16,away,7,31,-24,21,-3,54
20160910,2016,ARMY,RICE,IND,1A,Jeff Monken,-7.75,0.25,25,home,31,14,17,-9,8,52.5
20160910,2016,RICE,ARMY,USA,1A,David Bailiff,0.25,-7.75,12,away,14,31,-17,9,-8,52.5
20160910,2016,ARZ,GRAM,P12,1A,Rich Rodriguez,4.75,-30.75,25,home,31,21,10,-45.5,-35.5,78
20160910,2016,GRAM,ARZ,,,None,-30.75,4.75,26,away,21,31,-10,45.5,35.5,78
20160910,2016,AUB,AKST,SEC,1A,Gus Malzahn,-2.75,14.25,34,home,51,14,37,-20,17,53.5
20160910,2016,AKST,AUB,SBC,1A,Blake Anderson,14.25,-2.75,17,away,14,51,-37,20,-17,53.5
20160910,2016,AZST,TXT,P12,1A,Todd Graham,16.25,27.25,34,home,68,55,13,-2,11,79.5
20160910,2016,TXT,AZST,B12,1A,Kliff Kingsbury,27.25,16.25,28,away,55,68,-13,2,-11,79.5
20160910,2016,BAY,SMU,B12,1A,Jim Grobe,-6.75,-12.75,28,home,40,13,27,-33,-6,72.5
20160910,2016,SMU,BAY,AAC,1A,Chad Morris,-12.75,-6.75,22,away,13,40,-27,33,6,72.5
20160910,2016,BOIS,WAST,MWC,1A,Bryan Harsin,-2.25,-11.25,21,home,31,28,3,-12,-9,72.5
20160910,2016,WAST,BOIS,P12,1A,Mike Leach,-11.25,-2.25,26,away,28,31,-3,12,9,72.5
20160910,2016,BOWL,UND,MAC,1A,Mike Jinks,2.75,-13.75,22,home,27,26,1,-17.5,-16.5,64
20160910,2016,UND,BOWL,,,None,-13.75,2.75,20,away,26,27,-1,17.5,16.5,64
20160910,2016,CHAR,ELON,USA,1A,Brad Lambert,-0.25,15.25,23,home,47,14,33,-17.5,15.5,46
20160910,2016,ELON,CHAR,,1AA,None,15.25,-0.25,22,away,14,47,-33,17.5,-15.5,46
20160910,2016,CLEM,TROY,ACC,1A,Dabo Swinney,9.75,-18.75,24,home,30,24,6,-34.5,-28.5,63
20160910,2016,TROY,CLEM,SBC,1A,Neal Brown,-18.75,9.75,21,away,24,30,-6,34.5,28.5,63
20160910,2016,COLO,IDST,P12,1A,Mike MacIntyre,0.75,5.75,32,home,56,7,49,-44,5,56.5
20160910,2016,IDST,COLO,,1AA,None,5.75,0.75,7,away,7,56,-49,44,-5,56.5
20160910,2016,COST,UTSA,MWC,1A,Mike Bobo,-7.25,-7.75,19,home,23,14,9,-9.5,-0.5,52
20160910,2016,UTSA,COST,USA,,Frank Wilson,-7.75,-7.25,13,away,14,23,-9,9.5,0.5,52
20160910,2016,DUKE,WAKE,ACC,1A,David Cutcliffe,4.75,-11.25,21,home,14,24,-10,-6,-16,44.5
20160910,2016,WAKE,DUKE,ACC,1A,Dave Clawson,-11.25,4.75,13,away,24,14,10,6,16,44.5
20160910,2016,ECAR,NCST,AAC,1A,Scottie Montgomery,-2.25,6.25,22,home,33,30,3,5.5,8.5,59
20160910,2016,NCST,ECAR,ACC,1A,Dave Doeren,6.25,-2.25,20,away,30,33,-3,-5.5,-8.5,59
20160910,2016,FLA,KTKY,SEC,1A,Jim McElwain,-10,12.5,28,home,45,7,38,-15.5,22.5,49.5
20160910,2016,KTKY,FLA,SEC,1A,Mark Stoops,12.5,-10,9,away,7,45,-38,15.5,-22.5,49.5
20160910,2016,FLST,CHSO,ACC,1A,Jimbo Fisher,-,-,29,home,52,8,44,-59,-15,-
20160910,2016,CHSO,FLST,,1AA,None,-,-,14,away,8,52,-44,59,15,-
20160910,2016,FRES,CSAC,MWC,1A,Tim DeRuyter,-,-,27,home,31,3,28,-,-,-
20160910,2016,CSAC,FRES,,1AA,None,-,-,7,away,3,31,-28,-,-,-
20160910,2016,GEO,NICH,SEC,1A,Kirby Smart,19,-31.5,18,home,26,24,2,-52.5,-50.5,62.5
20160910,2016,NICH,GEO,,1AA,None,-31.5,19,13,away,24,26,-2,52.5,50.5,62.5
20160910,2016,GTCH,MER,ACC,1A,Paul Johnson,-,-,25,home,35,10,25,-,-,-
20160910,2016,MER,GTCH,-,-,None,-,-,19,away,10,35,-25,-,-,-
20160910,2016,HAW,TMAR,MWC,1A,Nick Rolovich,-,-,14,home,41,36,5,-,-,-
20160910,2016,TMAR,HAW,,1AA,None,-,-,19,away,36,41,-5,-,-,-
20160910,2016,HOU,LAMA,AAC,1A,Tom Herman,-10,-16,25,home,42,0,42,-48,-6,68
20160910,2016,LAMA,HOU,,,None,-16,-10,4,away,0,42,-42,48,6,68
20160910,2016,ILL,NCAR,B10,1A,Lovie Smith,13.5,-3,15,home,23,48,-25,8.5,-16.5,60.5
20160910,2016,NCAR,ILL,ACC,1A,Larry Fedora,-3,13.5,21,away,48,23,25,-8.5,16.5,60.5
20160910,2016,IND,BALL,B10,1A,Kevin Wilson,-2.25,-8.75,19,home,30,20,10,-16.5,-6.5,61
20160910,2016,BALL,IND,MAC,1A,Mike Neu,-8.75,-2.25,18,away,20,30,-10,16.5,6.5,61
20160910,2016,IOWA,IWST,B10,1A,Kirk Ferentz,-15,8.5,26,home,42,3,39,-15.5,23.5,51.5
20160910,2016,IWST,IOWA,B12,1A,Matt Campbell,8.5,-15,16,away,3,42,-39,15.5,-23.5,51.5
20160910,2016,KAN,OHU,B12,1A,David Beaty,9.25,-9.25,9,home,21,37,-16,-2.5,-18.5,58
20160910,2016,OHU,KAN,MAC,1A,Frank Solich,-9.25,9.25,27,away,37,21,16,2.5,18.5,58
20160910,2016,KEST,NCAT,MAC,1A,Paul Haynes,26.75,9.75,15,home,36,39,-3,-14,-17,38.5
20160910,2016,NCAT,KEST,,1AA,None,9.75,26.75,28,away,39,36,3,14,17,38.5
20160910,2016,LLAF,MNEE,SBC,1A,Mark Hudspeth,0,4.5,22,home,30,22,8,-3.5,4.5,47.5
20160910,2016,MNEE,LLAF,,1AA,None,4.5,0,27,away,22,30,-8,3.5,-4.5,47.5
20160910,2016,LSU,JVST,SEC,1A,Les Miles,0,-8,21,home,34,13,21,-29,-8,55
20160910,2016,JVST,LSU,,1AA,None,-8,0,17,away,13,34,-21,29,8,55
20160910,2016,LTCH,SCST,USA,1A,Skip Holtz,14.25,11.25,34,home,53,24,29,-32,-3,51.5
20160910,2016,SCST,LTCH,,1A,None,11.25,14.25,20,away,24,53,-29,32,3,51.5
20160910,2016,MAS,BCOL,IND,1AA,None,-1.5,-3.5,7,home,7,26,-19,17,-2,38
20160910,2016,BCOL,MAS,ACC,1A,Steve Addazio,-3.5,-1.5,13,away,26,7,19,-17,2,38
20160910,2016,MIAF,FATL,ACC,1A,Mark Richt,-8,-5.5,21,home,38,10,28,-25.5,2.5,61.5
20160910,2016,FATL,MIAF,USA,1A,Charlie Partridge,-5.5,-8,13,away,10,38,-28,25.5,-2.5,61.5
20160910,2016,MIAO,EIL,MAC,1A,Chuck Martin,0.5,-12,22,home,17,21,-4,-8.5,-12.5,49.5
20160910,2016,EIL,MIAO,,1AA,None,-12,0.5,22,away,21,17,4,8.5,12.5,49.5
