Away True Probability (Close),Away True Line (Close),,Away Implied Probability (Close),Away Line (Close),Away True Probability (Open),Away True Line (Open),,Away Implied Probability (Open),Away Line (Open),Away,Away Score,-,Date,-,Home Score,Home,Home Line (Open),Home Implied Probability (Open),,Home True Line (Open),Home True Probability (Open),Home Line (Close),Home Implied Probability (Close),,Home True Line (Close),Home True Probability (Close)
37.85%,+164,102.40%,38.76%,+158,39.98%,+150,102.52%,40.98%,+144,Florida Panthers,3,,6-Oct,,5,Tampa Bay Lightning,-160,61.54%,102.52%, -150,60.02%,-175,63.64%,102.40%, -164,62.15%
33.55%,+198,102.42%,34.36%,+191,31.99%,+213,102.48%,32.79%,+205,Vegas Golden Knights,2,,6-Oct,,1,Dallas Stars,-230,69.70%,102.48%, -213,68.01%,-213,68.05%,102.42%, -198,66.45%
43.76%,+129,102.47%,44.84%,+123,43.95%,+128,102.49%,45.05%,+122,New York Rangers,5,,7-Oct,,8,Toronto Maple Leafs,-135,57.45%,102.49%, -128,56.05%,-136,57.63%,102.47%, -129,56.24%
43.95%,+128,102.49%,45.05%,+122,43.95%,+128,102.49%,45.05%,+122,Detroit Red Wings,1,,7-Oct,SO,2,Ottawa Senators,-135,57.45%,102.49%, -128,56.05%,-135,57.45%,102.49%, -128,56.05%
49.54%,+102,102.43%,50.74%,-103,51.39%, -106,102.36%,52.61%, -111,Tampa Bay Lightning,4,,7-Oct,,5,Florida Panthers,+101,49.75%,102.36%,+106,48.61%,-107,51.69%,102.43%, -102,50.46%
44.80%,+123,102.39%,45.87%,+118,40.51%,+147,102.43%,41.49%,+141,Colorado Avalanche,1,,7-Oct,,4,New Jersey Devils,-156,60.94%,102.43%, -147,59.49%,-130,56.52%,102.39%, -123,55.20%
46.21%,+116,102.55%,47.39%,+111,45.80%,+118,102.50%,46.95%,+113,Buffalo Sabres,3,,7-Oct,,6,New York Islanders,-125,55.56%,102.50%, -118,54.20%,-123,55.16%,102.55%, -116,53.79%
40.67%,+146,102.45%,41.67%,+140,39.67%,+152,102.48%,40.65%,+146,Nashville Predators,0,,7-Oct,,4,Pittsburgh Penguins,-162,61.83%,102.48%, -152,60.33%,-155,60.78%,102.45%, -146,59.33%
42.60%,+135,102.52%,43.67%,+129,43.76%,+129,102.47%,44.84%,+123,Montreal Canadiens,1,,7-Oct,,6,Washington Capitals,-136,57.63%,102.47%, -129,56.24%,-143,58.85%,102.52%, -135,57.40%
45.40%,+120,102.46%,46.51%,+115,47.16%,+112,102.44%,48.31%,+107,Minnesota Wild,4,,7-Oct,SO,5,Carolina Hurricanes,-118,54.13%,102.44%, -112,52.84%,-127,55.95%,102.46%, -120,54.60%
42.60%,+135,102.52%,43.67%,+129,45.60%,+119,102.48%,46.73%,+114,Dallas Stars,2,,7-Oct,,4,St. Louis Blues,-126,55.75%,102.48%, -119,54.40%,-143,58.85%,102.52%, -135,57.40%
41.73%,+140,102.41%,42.74%,+134,42.85%,+133,102.37%,43.86%,+128,Columbus Blue Jackets,1,,7-Oct,,5,Chicago Blackhawks,-141,58.51%,102.37%, -133,57.15%,-148,59.68%,102.41%, -140,58.27%
37.25%,+168,102.45%,38.17%,+162,40.67%,+146,102.45%,41.67%,+140,Vegas Golden Knights,2,OT,7-Oct,,1,Arizona Coyotes,-155,60.78%,102.45%, -146,59.33%,-180,64.29%,102.45%, -168,62.75%
60.02%, -150,102.52%,61.54%,-160,62.47%, -166,102.49%,64.03%, -178,Edmonton Oilers,2,,7-Oct,,3,Vancouver Canucks,+160,38.46%,102.49%,+166,37.53%,+144,40.98%,102.52%,+150,39.98%
45.40%,+120,102.46%,46.51%,+115,44.60%,+124,102.37%,45.66%,+119,Philadelphia Flyers,3,,7-Oct,OT,2,Anaheim Ducks,-131,56.71%,102.37%, -124,55.40%,-127,55.95%,102.46%, -120,54.60%
45.80%,+118,102.50%,46.95%,+113,43.39%,+130,102.43%,44.44%,+125,Winnipeg Jets,3,,7-Oct,,6,Calgary Flames,-138,57.98%,102.43%, -130,56.61%,-125,55.56%,102.50%, -118,54.20%
43.76%,+129,102.47%,44.84%,+123,45.60%,+119,102.48%,46.73%,+114,Los Angeles Kings,4,,7-Oct,,1,San Jose Sharks,-126,55.75%,102.48%, -119,54.40%,-136,57.63%,102.47%, -129,56.24%
46.94%,+113,102.41%,48.08%,+108,46.73%,+114,102.39%,47.85%,+109,Montreal Canadiens,0,,8-Oct,,2,New York Rangers,-120,54.55%,102.39%, -114,53.27%,-119,54.34%,102.41%, -113,53.06%
36.28%,+176,102.45%,37.17%,+169,34.38%,+191,102.42%,35.21%,+184,Colorado Avalanche,4,,9-Oct,,0,Boston Bruins,-205,67.21%,102.42%, -191,65.62%,-188,65.28%,102.45%, -176,63.72%
46.73%,+114,102.39%,47.85%,+109,49.07%,+104,102.40%,50.25%, -101,St. Louis Blues,3,SO,9-Oct,,2,New York Islanders,-109,52.15%,102.40%, -104,50.93%,-120,54.55%,102.39%, -114,53.27%
42.60%,+135,102.52%,43.67%,+129,46.21%,+116,102.55%,47.39%,+111,New Jersey Devils,6,,9-Oct,,2,Buffalo Sabres,-123,55.16%,102.55%, -116,53.79%,-143,58.85%,102.52%, -135,57.40%
40.19%,+149,102.39%,41.15%,+143,43.58%,+129,102.45%,44.64%,+124,Chicago Blackhawks,3,,9-Oct,OT,4,Toronto Maple Leafs,-137,57.81%,102.45%, -129,56.42%,-158,61.24%,102.39%, -149,59.81%
47.82%,+109,102.51%,49.02%,+104,46.49%,+115,101.94%,47.39%,+111,Washington Capitals,3,,9-Oct,OT,4,Tampa Bay Lightning,-120,54.55%,101.94%, -115,53.51%,-115,53.49%,102.51%, -109,52.18%
39.98%,+150,102.52%,40.98%,+144,37.85%,+164,102.40%,38.76%,+158,Winnipeg Jets,5,,9-Oct,,2,Edmonton Oilers,-175,63.64%,102.40%, -164,62.15%,-160,61.54%,102.52%, -150,60.02%
46.73%,+114,102.39%,47.85%,+109,45.80%,+118,102.50%,46.95%,+113,Calgary Flames,2,,9-Oct,,0,Anaheim Ducks,-125,55.56%,102.50%, -118,54.20%,-120,54.55%,102.39%, -114,53.27%
41.90%,+139,102.43%,42.92%,+133,43.03%,+132,102.39%,44.05%,+127,St. Louis Blues,3,,10-Oct,,1,New York Rangers,-140,58.33%,102.39%, -132,56.97%,-147,59.51%,102.43%, -139,58.10%
46.73%,+114,102.39%,47.85%,+109,46.94%,+113,102.41%,48.08%,+108,Columbus Blue Jackets,2,OT,10-Oct,,1,Carolina Hurricanes,-119,54.34%,102.41%, -113,53.06%,-120,54.55%,102.39%, -114,53.27%
44.60%,+124,102.37%,45.66%,+119,44.80%,+123,102.39%,45.87%,+118,Chicago Blackhawks,3,,10-Oct,,1,Montreal Canadiens,-130,56.52%,102.39%, -123,55.20%,-131,56.71%,102.37%, -124,55.40%
46.52%,+115,102.37%,47.62%,+110,40.67%,+146,102.45%,41.67%,+140,Philadelphia Flyers,5,,10-Oct,,6,Nashville Predators,-155,60.78%,102.45%, -146,59.33%,-121,54.75%,102.37%, -115,53.48%
37.85%,+164,102.40%,38.76%,+158,37.85%,+164,102.40%,38.76%,+158,Detroit Red Wings,2,,10-Oct,,4,Dallas Stars,-175,63.64%,102.40%, -164,62.15%,-175,63.64%,102.40%, -164,62.15%
50.00%,+100,102.44%,51.22%,-105,47.82%,+109,102.51%,49.02%,+104,Ottawa Senators,3,SO,10-Oct,,2,Vancouver Canucks,-115,53.49%,102.51%, -109,52.18%,-105,51.22%,102.44%,+100,50.00%
47.60%,+110,102.48%,48.78%,+105,49.07%,+104,102.40%,50.25%, -101,Arizona Coyotes,2,,10-Oct,,5,Vegas Golden Knights,-109,52.15%,102.40%, -104,50.93%,-116,53.70%,102.48%, -110,52.40%
37.12%,+169,102.44%,38.02%,+163,35.49%,+182,102.47%,36.36%,+175,New Jersey Devils,6,,11-Oct,,3,Toronto Maple Leafs,-195,66.10%,102.47%, -182,64.51%,-181,64.41%,102.44%, -169,62.88%
45.20%,+121,102.44%,46.30%,+116,45.80%,+118,102.50%,46.95%,+113,Pittsburgh Penguins,3,,11-Oct,,2,Washington Capitals,-125,55.56%,102.50%, -118,54.20%,-128,56.14%,102.44%, -121,54.80%
52.18%, -109,102.51%,53.49%,-115,54.80%, -121,102.44%,56.14%, -128,Boston Bruins,3,,11-Oct,,6,Colorado Avalanche,+116,46.30%,102.44%,+121,45.20%,+104,49.02%,102.51%,+109,47.82%
46.21%,+116,102.55%,47.39%,+111,43.39%,+130,102.43%,44.44%,+125,New York Islanders,2,,11-Oct,,3,Anaheim Ducks,-138,57.98%,102.43%, -130,56.61%,-123,55.16%,102.55%, -116,53.79%
41.73%,+140,102.41%,42.74%,+134,45.80%,+118,102.50%,46.95%,+113,Calgary Flames,4,OT,11-Oct,,3,Los Angeles Kings,-125,55.56%,102.50%, -118,54.20%,-148,59.68%,102.41%, -140,58.27%
43.03%,+132,102.39%,44.05%,+127,42.85%,+133,102.37%,43.86%,+128,Pittsburgh Penguins,4,,12-Oct,,5,Tampa Bay Lightning,-141,58.51%,102.37%, -133,57.15%,-140,58.33%,102.39%, -132,56.97%
44.80%,+123,102.39%,45.87%,+118,47.82%,+109,102.51%,49.02%,+104,St. Louis Blues,2,,12-Oct,,5,Florida Panthers,-115,53.49%,102.51%, -109,52.18%,-130,56.52%,102.39%, -123,55.20%
46.94%,+113,102.41%,48.08%,+108,46.01%,+117,102.53%,47.17%,+112,Dallas Stars,1,,12-Oct,,4,Nashville Predators,-124,55.36%,102.53%, -117,53.99%,-119,54.34%,102.41%, -113,53.06%
45.80%,+118,102.50%,46.95%,+113,42.25%,+137,102.47%,43.29%,+131,Minnesota Wild,5,,12-Oct,,2,Chicago Blackhawks,-145,59.18%,102.47%, -137,57.75%,-125,55.56%,102.50%, -118,54.20%
51.62%, -107,102.34%,52.83%,-112,54.20%, -118,102.50%,55.56%, -125,Winnipeg Jets,4,,12-Oct,,2,Vancouver Canucks,+113,46.95%,102.50%,+118,45.80%,+102,49.50%,102.34%,+107,48.38%
46.94%,+113,102.41%,48.08%,+108,50.00%,+100,102.44%,51.22%, -105,Detroit Red Wings,4,,12-Oct,,2,Arizona Coyotes,-105,51.22%,102.44%,+100,50.00%,-119,54.34%,102.41%, -113,53.06%
38.76%,+158,102.37%,39.68%,+152,39.21%,+155,102.42%,40.16%,+149,Buffalo Sabres,2,,12-Oct,,3,San Jose Sharks,-165,62.26%,102.42%, -155,60.79%,-168,62.69%,102.37%, -158,61.24%
56.97%, -132,102.39%,58.33%,-140,56.61%, -130,102.43%,57.98%, -138,Washington Capitals,5,,13-Oct,,2,New Jersey Devils,+125,44.44%,102.43%,+130,43.39%,+127,44.05%,102.39%,+132,43.03%
42.85%,+133,102.37%,43.86%,+128,43.03%,+132,102.39%,44.05%,+127,New York Rangers,1,,13-Oct,,3,Columbus Blue Jackets,-140,58.33%,102.39%, -132,56.97%,-141,58.51%,102.37%, -133,57.15%
51.16%, -105,102.38%,52.38%,-110,49.77%,+101,102.44%,50.98%, -104,Anaheim Ducks,1,,13-Oct,,3,Colorado Avalanche,-106,51.46%,102.44%, -101,50.23%,-100,50.00%,102.38%,+105,48.84%
42.42%,+136,102.49%,43.48%,+130,43.03%,+132,102.39%,44.05%,+127,Ottawa Senators,6,,13-Oct,,0,Calgary Flames,-140,58.33%,102.39%, -132,56.97%,-144,59.02%,102.49%, -136,57.58%
42.42%,+136,102.49%,43.48%,+130,45.80%,+118,102.50%,46.95%,+113,Detroit Red Wings,6,,13-Oct,,3,Vegas Golden Knights,-125,55.56%,102.50%, -118,54.20%,-144,59.02%,102.49%, -136,57.58%
47.60%,+110,102.48%,48.78%,+105,44.80%,+123,102.39%,45.87%,+118,Carolina Hurricanes,1,,14-Oct,,2,Winnipeg Jets,-130,56.52%,102.39%, -123,55.20%,-116,53.70%,102.48%, -110,52.40%
46.94%,+113,102.41%,48.08%,+108,49.54%,+102,102.43%,50.74%, -103,Toronto Maple Leafs,4,OT,14-Oct,,3,Montreal Canadiens,-107,51.69%,102.43%, -102,50.46%,-119,54.34%,102.41%, -113,53.06%
42.42%,+136,102.49%,43.48%,+130,40.67%,+146,102.45%,41.67%,+140,St. Louis Blues,1,,14-Oct,,2,Tampa Bay Lightning,-155,60.78%,102.45%, -146,59.33%,-144,59.02%,102.49%, -136,57.58%
40.67%,+146,102.45%,41.67%,+140,43.03%,+132,102.39%,44.05%,+127,New Jersey Devils,3,,14-Oct,,2,New York Rangers,-140,58.33%,102.39%, -132,56.97%,-155,60.78%,102.45%, -146,59.33%
48.04%,+108,102.53%,49.26%,+103,50.00%,+100,102.44%,51.22%, -105,Washington Capitals,2,,14-Oct,,8,Philadelphia Flyers,-105,51.22%,102.44%,+100,50.00%,-114,53.27%,102.53%, -108,51.96%
38.71%,+158,102.51%,39.68%,+152,37.12%,+169,102.44%,38.02%,+163,Florida Panthers,3,,14-Oct,,4,Pittsburgh Penguins,-181,64.41%,102.44%, -169,62.88%,-169,62.83%,102.51%, -158,61.29%
34.49%,+190,102.44%,35.34%,+183,35.49%,+182,102.47%,36.36%,+175,Colorado Avalanche,1,,14-Oct,,3,Dallas Stars,-195,66.10%,102.47%, -182,64.51%,-204,67.11%,102.44%, -190,65.51%
50.46%, -102,102.43%,51.69%,-107,42.42%,+136,102.49%,43.48%,+130,Columbus Blue Jackets,5,OT,14-Oct,,4,Minnesota Wild,-144,59.02%,102.49%, -136,57.58%,-103,50.74%,102.43%,+102,49.54%
41.90%,+139,102.43%,42.92%,+133,45.80%,+118,102.50%,46.95%,+113,Nashville Predators,1,,14-Oct,OT,2,Chicago Blackhawks,-125,55.56%,102.50%, -118,54.20%,-147,59.51%,102.43%, -139,58.10%
53.06%, -113,102.41%,54.34%,-119,55.20%, -123,102.39%,56.52%, -130,Boston Bruins,6,,14-Oct,,2,Arizona Coyotes,+118,45.87%,102.39%,+123,44.80%,+108,48.08%,102.41%,+113,46.94%
50.46%, -102,102.43%,51.69%,-107,50.00%,+100,102.44%,51.22%, -105,Calgary Flames,5,,14-Oct,,2,Vancouver Canucks,-105,51.22%,102.44%,+100,50.00%,-103,50.74%,102.43%,+102,49.54%
36.03%,+178,102.42%,36.90%,+171,36.16%,+177,102.43%,37.04%,+170,Ottawa Senators,1,,14-Oct,,6,Edmonton Oilers,-189,65.40%,102.43%, -177,63.84%,-190,65.52%,102.42%, -178,63.97%
36.67%,+173,102.51%,37.59%,+166,39.98%,+150,102.52%,40.98%,+144,Buffalo Sabres,2,,14-Oct,,3,Los Angeles Kings,-160,61.54%,102.52%, -150,60.02%,-185,64.91%,102.51%, -173,63.33%
44.60%,+124,102.37%,45.66%,+119,43.03%,+132,102.39%,44.05%,+127,New York Islanders,3,,14-Oct,,1,San Jose Sharks,-140,58.33%,102.39%, -132,56.97%,-131,56.71%,102.37%, -124,55.40%
58.75%, -142,101.86%,59.84%,-149,57.47%, -135,101.80%,58.51%, -141,Boston Bruins,1,,15-Oct,,3,Vegas Golden Knights,+131,43.29%,101.80%,+135,42.53%,+138,42.02%,101.86%,+142,41.25%
41.56%,+141,102.39%,42.55%,+135,41.39%,+142,102.37%,42.37%,+136,Buffalo Sabres,3,,15-Oct,,1,Anaheim Ducks,-150,60.00%,102.37%, -142,58.61%,-149,59.84%,102.39%, -141,58.44%
43.95%,+128,102.49%,45.05%,+122,43.03%,+132,102.39%,44.05%,+127,New York Islanders,2,,15-Oct,,3,Los Angeles Kings,-140,58.33%,102.39%, -132,56.97%,-135,57.45%,102.49%, -128,56.05%
54.60%, -120,102.46%,55.95%,-127,53.27%, -114,102.39%,54.55%, -120,Tampa Bay Lightning,3,,16-Oct,,2,Detroit Red Wings,+109,47.85%,102.39%,+114,46.73%,+115,46.51%,102.46%,+120,45.40%
48.84%,+105,102.38%,50.00%,+100,54.20%, -118,102.50%,55.56%, -125,Tampa Bay Lightning,4,,17-Oct,SO,5,New Jersey Devils,+113,46.95%,102.50%,+118,45.80%,-110,52.38%,102.38%, -105,51.16%
54.60%, -120,102.46%,55.95%,-127,51.96%, -108,102.53%,53.27%, -114,Pittsburgh Penguins,5,OT,17-Oct,,4,New York Rangers,+103,49.26%,102.53%,+108,48.04%,+115,46.51%,102.46%,+120,45.40%
44.33%,+126,102.54%,45.45%,+120,43.95%,+128,102.49%,45.05%,+122,Florida Panthers,1,,17-Oct,,5,Philadelphia Flyers,-135,57.45%,102.49%, -128,56.05%,-133,57.08%,102.54%, -126,55.67%
46.21%,+116,102.55%,47.39%,+111,43.03%,+132,102.39%,44.05%,+127,Toronto Maple Leafs,2,,17-Oct,,0,Washington Capitals,-140,58.33%,102.39%, -132,56.97%,-123,55.16%,102.55%, -116,53.79%
35.37%,+183,102.45%,36.23%,+176,37.25%,+168,102.45%,38.17%,+162,Vancouver Canucks,3,,17-Oct,,0,Ottawa Senators,-180,64.29%,102.45%, -168,62.75%,-196,66.22%,102.45%, -183,64.63%
39.06%,+156,102.41%,40.00%,+150,35.90%,+179,102.40%,36.76%,+172,Colorado Avalanche,1,,17-Oct,,4,Nashville Predators,-191,65.64%,102.40%, -179,64.10%,-166,62.41%,102.41%, -156,60.94%
48.84%,+105,102.38%,50.00%,+100,50.00%,+100,102.44%,51.22%, -105,Columbus Blue Jackets,5,,17-Oct,,2,Winnipeg Jets,-105,51.22%,102.44%,+100,50.00%,-110,52.38%,102.38%, -105,51.16%
33.44%,+199,102.40%,34.25%,+192,32.87%,+204,102.42%,33.67%,+197,Arizona Coyotes,1,,17-Oct,,3,Dallas Stars,-220,68.75%,102.42%, -204,67.13%,-214,68.15%,102.40%, -199,66.56%
45.40%,+120,102.46%,46.51%,+115,40.35%,+148,102.41%,41.32%,+142,Carolina Hurricanes,5,,17-Oct,,3,Edmonton Oilers,-157,61.09%,102.41%, -148,59.65%,-127,55.95%,102.46%, -120,54.60%
49.54%,+102,102.43%,50.74%,-103,51.16%, -105,102.38%,52.38%, -110,Buffalo Sabres,4,,17-Oct,OT,5,Vegas Golden Knights,+100,50.00%,102.38%,+105,48.84%,-107,51.69%,102.43%, -102,50.46%
46.94%,+113,102.41%,48.08%,+108,46.52%,+115,102.37%,47.62%,+110,Montreal Canadiens,2,,17-Oct,,5,San Jose Sharks,-121,54.75%,102.37%, -115,53.48%,-119,54.34%,102.41%, -113,53.06%
41.16%,+143,102.51%,42.19%,+137,38.57%,+159,102.49%,39.53%,+153,Detroit Red Wings,3,,18-Oct,,6,Toronto Maple Leafs,-170,62.96%,102.49%, -159,61.43%,-152,60.32%,102.51%, -143,58.84%
47.82%,+109,102.51%,49.02%,+104,48.04%,+108,102.53%,49.26%,+103,Chicago Blackhawks,2,,18-Oct,,5,St. Louis Blues,-114,53.27%,102.53%, -108,51.96%,-115,53.49%,102.51%, -109,52.18%
39.06%,+156,102.41%,40.00%,+150,40.67%,+146,102.45%,41.67%,+140,Montreal Canadiens,1,,18-Oct,,5,Los Angeles Kings,-155,60.78%,102.45%, -146,59.33%,-166,62.41%,102.41%, -156,60.94%
38.71%,+158,102.51%,39.68%,+152,40.51%,+147,102.43%,41.49%,+141,Vancouver Canucks,3,,19-Oct,,6,Boston Bruins,-156,60.94%,102.43%, -147,59.49%,-169,62.83%,102.51%, -158,61.29%
46.21%,+116,102.55%,47.39%,+111,43.95%,+128,102.49%,45.05%,+122,New York Islanders,4,SO,19-Oct,,3,New York Rangers,-135,57.45%,102.49%, -128,56.05%,-123,55.16%,102.55%, -116,53.79%
47.38%,+111,102.46%,48.54%,+106,46.52%,+115,102.37%,47.62%,+110,Nashville Predators,1,,19-Oct,,0,Philadelphia Flyers,-121,54.75%,102.37%, -115,53.48%,-117,53.92%,102.46%, -111,52.62%
43.21%,+131,102.41%,44.25%,+126,45.80%,+118,102.50%,46.95%,+113,Tampa Bay Lightning,2,,19-Oct,,0,Columbus Blue Jackets,-125,55.56%,102.50%, -118,54.20%,-139,58.16%,102.41%, -131,56.79%
41.16%,+143,102.51%,42.19%,+137,42.07%,+138,102.45%,43.10%,+132,New Jersey Devils,5,OT,19-Oct,,4,Ottawa Senators,-146,59.35%,102.45%, -138,57.93%,-152,60.32%,102.51%, -143,58.84%
48.27%,+107,102.56%,49.50%,+102,46.52%,+115,102.37%,47.62%,+110,Edmonton Oilers,2,OT,19-Oct,,1,Chicago Blackhawks,-121,54.75%,102.37%, -115,53.48%,-113,53.05%,102.56%, -107,51.73%
51.96%, -108,102.53%,53.27%,-114,53.79%, -116,102.55%,55.16%, -123,St. Louis Blues,4,,19-Oct,,3,Colorado Avalanche,+111,47.39%,102.55%,+116,46.21%,+103,49.26%,102.53%,+108,48.04%
47.60%,+110,102.48%,48.78%,+105,43.95%,+128,102.49%,45.05%,+122,Carolina Hurricanes,2,,19-Oct,,1,Calgary Flames,-135,57.45%,102.49%, -128,56.05%,-116,53.70%,102.48%, -110,52.40%
57.75%, -137,102.47%,59.18%,-145,60.33%, -152,102.48%,61.83%, -162,Dallas Stars,5,,19-Oct,,4,Arizona Coyotes,+146,40.65%,102.48%,+152,39.67%,+131,43.29%,102.47%,+137,42.25%
41.00%,+144,102.49%,42.02%,+138,43.03%,+132,102.39%,44.05%,+127,Vancouver Canucks,4,,20-Oct,,2,Buffalo Sabres,-140,58.33%,102.39%, -132,56.97%,-153,60.47%,102.49%, -144,59.00%
56.05%, -128,102.49%,57.45%,-135,49.54%,+102,102.43%,50.74%, -103,San Jose Sharks,3,,20-Oct,,0,New Jersey Devils,-107,51.69%,102.43%, -102,50.46%,+122,45.05%,102.49%,+128,43.95%
53.79%, -116,102.55%,55.16%,-123,55.67%, -126,102.54%,57.08%, -133,Washington Capitals,4,OT,20-Oct,,3,Detroit Red Wings,+120,45.45%,102.54%,+126,44.33%,+111,47.39%,102.55%,+116,46.21%
53.06%, -113,102.41%,54.34%,-119,54.20%, -118,102.50%,55.56%, -125,Pittsburgh Penguins,4,,20-Oct,,3,Florida Panthers,+113,46.95%,102.50%,+118,45.80%,+108,48.08%,102.41%,+113,46.94%
48.27%,+107,102.56%,49.50%,+102,45.80%,+118,102.50%,46.95%,+113,Minnesota Wild,3,,20-Oct,,4,Winnipeg Jets,-125,55.56%,102.50%, -118,54.20%,-113,53.05%,102.56%, -107,51.73%
51.93%, -108,102.99%,53.49%,-115,47.60%,+110,102.48%,48.78%,+105,Montreal Canadiens,2,,20-Oct,,6,Anaheim Ducks,-116,53.70%,102.48%, -110,52.40%,+102,49.50%,102.99%,+108,48.07%
48.84%,+105,102.38%,50.00%,+100,47.82%,+109,102.51%,49.02%,+104,Nashville Predators,2,,21-Oct,,4,New York Rangers,-115,53.49%,102.51%, -109,52.18%,-110,52.38%,102.38%, -105,51.16%
47.38%,+111,102.46%,48.54%,+106,47.82%,+109,102.51%,49.02%,+104,Edmonton Oilers,1,,21-Oct,,2,Philadelphia Flyers,-115,53.49%,102.51%, -109,52.18%,-117,53.92%,102.46%, -111,52.62%
37.39%,+167,102.47%,38.31%,+161,38.57%,+159,102.49%,39.53%,+153,Buffalo Sabres,5,OT,21-Oct,,4,Boston Bruins,-170,62.96%,102.49%, -159,61.43%,-179,64.16%,102.47%, -167,62.61%
52.84%, -112,102.44%,54.13%,-118,51.16%, -105,102.38%,52.38%, -110,Toronto Maple Leafs,3,,21-Oct,,6,Ottawa Senators,+100,50.00%,102.38%,+105,48.84%,+107,48.31%,102.44%,+112,47.16%
41.73%,+140,102.41%,42.74%,+134,41.90%,+139,102.43%,42.92%,+133,Pittsburgh Penguins,1,,21-Oct,,7,Tampa Bay Lightning,-147,59.51%,102.43%, -139,58.10%,-148,59.68%,102.41%, -140,58.27%
45.00%,+122,102.41%,46.08%,+117,46.01%,+117,102.53%,47.17%,+112,San Jose Sharks,3,,21-Oct,,5,New York Islanders,-124,55.36%,102.53%, -117,53.99%,-129,56.33%,102.41%, -122,55.00%
44.14%,+127,102.51%,45.25%,+121,38.71%,+158,102.51%,39.68%,+152,Florida Panthers,4,,21-Oct,,1,Washington Capitals,-169,62.83%,102.51%, -158,61.29%,-134,57.26%,102.51%, -127,55.86%
43.03%,+132,102.39%,44.05%,+127,43.03%,+132,102.39%,44.05%,+127,Los Angeles Kings,6,,21-Oct,,4,Columbus Blue Jackets,-140,58.33%,102.39%, -132,56.97%,-140,58.33%,102.39%, -132,56.97%
